ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
200000,7,3,32,0.66,0.66,0,1,0,0,103,1,1,128,1,3,78,42,2,6,280,78,821,30,2,83,420,4,3,1,7,247.251,7005656.66,1504.594,385223918.6,37948.982,212.642,0.3,0,0,3.304,72.578,384956.065,217042.203,29283.012,8027.333,97592.333,635670877,4110400932,543982501.3,547004458.7,39.667,369973.667,370064.333,78092902225,460008,460157,89660747810,1664599384,25947902294,10393951290,52609474.67,74493240.33,202019234.7,602,249.667,2607.667,10098311087,17528210692,55.995
200000,4,3,104,0.9,0.3,1,1,1,1,128,0,0,128,0,3,103,42,7,6,460,78,821,40,1,67,340,4,7,1,4,372.856,7685641.4,1143.124,197578280.6,20592.011,42.646,0.157,0,0,4.11,126.171,483875.422,128052.279,15524.531,11025.667,97460.667,643741294,4295265124,558642526.7,558735937.7,44,503831.667,503925.333,88202658705,461110.333,461259.667,92502485719,2082021012,27551103326,10727553967,61241761.33,102481604,244256956.7,499,1140.333,4338.667,10702838205,17381197415,66.386
200000,2,3,104,0.66,0.66,0,1,2,1,103,0,1,103,1,2,103,160,5,4,820,52,10,50,2,35,180,4,7,4,6,301.371,10245359.18,841.981,216104729.7,23182.708,24.41,0.265,0,0,2.93,63.908,306035.073,51424.628,15465.322,13611,105164,808487932.7,4791408892,599216500.3,601012631,43,416301.333,416406.667,1.04E+11,483306.667,483460,1.02E+11,2230067384,31520441693,11859751490,88949335.33,116400506,250556127,276.333,158.333,1294.333,11199151046,20814426322,69.071
200000,2,3,8,0.78,0.54,1,0,2,0,52,0,0,103,0,4,128,160,4,4,100,103,821,40,2,35,340,12,4,2,6,108.335,8052800.083,1268.942,446293870.5,53635.557,69.061,0.5,0,0,1.21,86.885,1094811.775,545616.693,40517.232,6365.667,91866.667,657672321.3,4181035583,504508674.7,508306461.7,43,408252.333,408340.667,75846205246,445013.333,445163.333,88227683015,1596436043,26115454483,10073384107,61609577.67,86526145.67,195414342.7,125.333,93.667,2093.333,9840072060,17024883930,68.789
200000,4,4,80,0.3,0.54,0,0,2,0,2,1,0,2,1,2,128,2,5,9,640,78,1024,50,2,19,260,7,9,5,7,495.34,9014213.424,1102.71,261795101.1,24247.966,63.521,0.311,0,0,3.783,26.312,301464.191,84315.42,18415.496,11654.333,99461,705360601.3,4243489361,562788126.7,568941455.3,40.333,314279.333,314381.333,93508535343,473017.667,473174,94549985774,2058936473,28337092668,10832045889,70890200.33,90539673,233778866.7,369.667,186.667,1094.667,10713964205,18681626905,60.743
200000,5,1,32,0.42,0.3,0,0,0,1,52,0,0,27,0,5,103,42,4,4,640,27,416,21,3,83,500,15,7,4,4,186.291,6760993.978,1283.605,386603835.1,37924.024,77.96,0.45,0,0,4.021,50.39,725102.574,434725.104,29283.012,8092.667,96121.333,580907467.3,4326632848,561767122,563741177,40,412485.667,412583,80765409804,470877.333,471030.333,86760771095,1731276095,27062386409,10966471180,54383253,78915314.67,208828450,3291,1241.333,8373.667,10478432622,17112821407,55.53
200000,5,4,104,0.3,0.78,1,1,0,0,78,1,0,52,0,6,27,81,8,4,100,103,213,40,2,19,260,12,3,4,4,96.803,3950699.415,918.115,190959446.3,20579.982,46.319,0.14,0,0,7.084,99.939,388147.378,223780.322,15524.531,9216.333,97853,670661628.7,4358805560,552525106.7,547830905,41.333,325574.333,325677,87765537274,462103.333,462256,1.04E+11,1843349630,29094590589,10694940428,60063647.33,86759966.33,212462610,195.333,96,1116,10628316391,19531808560,60.31
300000,3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,552.759,13795447.38,2350.178,511526652.9,37991.824,32.083,0.353,0,0,2.181,24.258,537599.451,138617.352,29424.275,18091.667,262745.333,745551126.3,5487135288,632983227.7,635100547,89.667,354566.667,354710.667,93075217904,871853.667,872004,89038594550,1957263652,27201794854,11239106044,68474461.33,84375242,234704846.7,525.333,413,2445,10618899542,17276241921,83.687
300000,1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,2401.988,70479825.55,4243.341,1025138315,54081.531,57.467,1.134,0,0,0.186,91.287,1557070.86,86788.01,40713.009,23720,375511.667,976945227.3,6495357482,694086253,690219798,138,353470,353681.667,1.14E+11,1156528.667,1156676.667,98717801979,2315177576,31272869790,12918143485,100537624.3,123394701.3,281933660.7,617.333,123.333,1215.333,11896501035,19006437639,135.358
300000,8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,126.907,3880652.738,1060.385,304029579.2,17871.336,33.556,0.149,0,0,5.814,55.597,177719.428,134926.851,13427.079,10394.333,113228.667,691638154.7,4824487371,618609140.3,619256077,869.333,684905.667,685831,89830416275,509883.333,510038,93232442472,2019368166,28661131747,11584624360,59739988.67,99493337.33,240183121,3982,2288.333,15692,11308662464,18038170890,114.776
