ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
1120000,7,3,8,0.76,0.4,0,1,1,0,24,1,1,64,0,5,69,200,6,9,295,42,694,13,0,55,389,6,3,8,7,35.189,3785894.784,146.217,19002999.94,3908.082,17.678,0.035,0,0,64.624,7.022,4534.392,10947.775,178.841,12710.333,162490.667,1046005921,7582890522,962880663,979415969.7,39.333,304819.333,304906,1.42566E+11,1827245.333,1827401.667,1.48533E+11,3368618725,46562147272,18691276664,100971726.7,117261586.3,330419705.7,53.333,9.333,1401,17940711614,29665375713,59.405
1120000,6,4,55,0.69,0.61,0,1,0,0,80,0,0,7,1,2,79,189,7,8,192,107,692,35,1,25,435,2,8,3,2,57.323,3665588.493,121.352,16106872.03,3930.541,8.35,0.034,0,0,47.781,10.094,8009.321,9210.675,179.04,11844.667,157223,1047732756,7611389690,1003580326,1003378879,40,294027.333,294132.667,1.51129E+11,1815430.333,1815589,1.55149E+11,3728775673,48194400561,18965359826,95740627.33,110264892.3,331274039,16,3,733,18294447714,31295105116,57.317
1120000,3,5,14,0.87,0.35,1,1,1,0,14,0,0,78,1,3,60,89,2,5,848,11,740,31,1,76,460,7,3,2,6,129.672,5500214.282,100.181,24124723.06,3905.036,5.756,0.052,0,0,43.403,2.782,7505.935,6630.258,179.04,14363.333,159331.667,1087863318,7556754313,979160552.7,980196221,38,427277.667,427377.667,1.54558E+11,1818142,1818302,1.49656E+11,3723942220,46946248280,18796726525,105530438.7,120535987.7,342896582,1280.667,863.667,4119.667,18058249936,30441581855,65.029
1120000,7,1,60,0.45,0.63,1,0,1,1,71,1,0,76,1,4,107,109,6,5,589,81,521,48,1,22,384,8,5,8,8,67.976,4062620.056,138.574,24727216.29,3911.606,15.043,0.051,0,0,68.523,3.507,3699.525,10436.545,179.04,12013.667,155344.333,1039172042,7261348736,956460519.3,962893422.3,42,360592.333,360689.667,1.57247E+11,1808029.333,1808192.667,1.50814E+11,3309743680,46117009852,18332088128,103555674.7,119789926.3,337906088,19.333,3,1652.667,18193510405,28954053436,58.758
1120000,2,1,38,0.74,0.74,1,1,0,0,41,0,1,121,0,1,12,84,6,6,335,125,348,1,0,52,317,6,4,6,1,20.171,4157344.851,110.628,21128757.93,3929.012,9.833,0.075,0,0,22.584,3.391,11632.839,3866.521,179.04,27722.333,264549.333,1353379571,8556835191,1059597721,1052755868,39,321740.333,321870,1.71275E+11,2077523.667,2077681.333,1.61143E+11,3764948634,48988302282,19972328617,139312139.7,144252305,388104430.7,0,6.333,608,19572236886,31438921155,61.956
1120000,4,5,66,0.49,0.77,1,0,1,0,37,0,0,13,0,5,22,123,6,4,518,18,646,7,2,42,118,13,4,7,6,39.87,4225500.195,88.131,16423428.17,3920.486,6.046,0.031,0,0,80.757,0.223,1982.874,13516.486,179.04,13425.667,173748,1098801988,7826689176,988653475,996954770,37,293169.333,293262.333,1.48756E+11,1859505.333,1859672,1.58326E+11,3529133799,48523820561,19121451875,104648224.7,116981262,331469973,18.667,6,975.333,18582978322,31266149373,62.026
1120000,3,6,89,0.31,0.57,0,1,1,1,95,1,0,63,0,2,67,27,7,8,924,93,757,30,3,61,334,13,8,8,2,139.839,5692256.646,107.075,20890593.09,3908.496,3.07,0.045,0,0,43.765,2.077,8085.234,7414.126,179.04,14604.333,161651.667,1099172432,7902290928,1008200813,1007687022,41,634446.667,634561.667,1.52112E+11,1851247.667,1851416.333,1.57872E+11,3234480182,48840441443,19742755741,109969045,131193609.7,365912235.3,259,220,13348,19059117267,30018684379,66.373
1120000,7,1,42,0.62,0.84,0,0,1,0,107,0,0,34,1,4,29,8,3,4,719,109,730,13,0,89,240,3,3,7,3,68.461,4257696.708,147.674,24061341.36,3925.673,29.138,0.053,0,0,77.269,0.113,2783.079,11353.303,179.04,13785.667,160273.333,1076300926,7661261629,972862653.7,965102127,39.333,287024,287129,1.5062E+11,1819723.667,1819879,1.52353E+11,3505542322,47434292912,18523406183,97091906.33,105527665.3,331521332,24.667,6.333,1256.667,18157041545,29895576362,59.845
1120000,8,6,67,0.39,0.33,1,0,0,1,104,1,1,86,1,5,114,20,7,8,372,49,415,33,2,66,171,10,2,1,1,31.292,3605756.484,220.966,24332825.21,3933.495,94.447,0.075,0,0,45.413,19.264,8420.813,8795.159,178.99,13526.667,160468,1169324634,7802469430,997157895,989466409.3,39,353230,353334.667,1.52579E+11,1824480.667,1824639.667,1.66477E+11,3539905841,51160974270,19669159958,108258769.7,133469656.7,368076328.7,0,3,1137.667,19263177374,32323112739,61.846
1120000,2,3,34,0.35,0.46,0,1,1,0,57,1,0,56,1,1,119,132,9,7,604,21,896,18,1,51,257,3,2,2,7,366.859,10089711.08,136.604,34015010.24,3923.324,7.824,0.085,0,0,22.261,4.021,10640.687,3495.801,179.04,16580.333,164718,1158654316,7907671479,1012604024,1016612137,44,392233.667,392344,1.72594E+11,1833415,1833573.333,1.61335E+11,3892669458,49148395545,18868465664,121689461.3,136140803.3,354629009.3,320.333,232.667,3673,18905483528,30461112674,80.933
